Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Time on Site,Income Tier,Region,Time on Site Tier
1001,65,Male,City P,43525,"[{""Purchase Date"": ""2024-10-11"", ""Product Category"": ""Electronics"", ""Price"": 595.7, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}, {""Purchase Date"": ""2024-11-13"", ""Product Category"": ""Home & Garden"", ""Price"": 718.15, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}, {""Purchase Date"": ""2025-04-28"", ""Product Category"": ""Clothing"", ""Price"": 182.0, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}, {""Purchase Date"": ""2024-11-22"", ""Product Category"": ""Home & Garden"", ""Price"": 323.6, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 2}}]","[{""Timestamp"": ""2024-08-12T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-10-03T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-07-21T11:09:23Z"", ""Product Category"": ""Electronics""}]",238.2,Low,Region 1,Long
1002,35,Male,City N,107239,"[{""Purchase Date"": ""2024-12-27"", ""Product Category"": ""Clothing"", ""Price"": 854.59, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 2}}, {""Purchase Date"": ""2024-08-26"", ""Product Category"": ""Clothing"", ""Price"": 787.0, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 2}}, {""Purchase Date"": ""2025-01-22"", ""Product Category"": ""Clothing"", ""Price"": 833.2, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 2}}, {""Purchase Date"": ""2024-11-10"", ""Product Category"": ""Clothing"", ""Price"": 186.03, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 2}}]","[{""Timestamp"": ""2025-01-24T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-10-17T11:09:23Z"", ""Product Category"": ""Clothing""}]",111.7,High,Region 2,Medium
1003,60,Female,City V,90087,"[{""Purchase Date"": ""2024-08-27"", ""Product Category"": ""Clothing"", ""Price"": 305.28, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 5}}, {""Purchase Date"": ""2025-02-28"", ""Product Category"": ""Clothing"", ""Price"": 35.41, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 5}}, {""Purchase Date"": ""2025-04-28"", ""Product Category"": ""Clothing"", ""Price"": 560.02, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 5}}]","[{""Timestamp"": ""2025-02-11T11:09:23Z"", ""Product Category"": ""Electronics""}]",257.5,High,Region 3,Long
1004,50,Female,City W,65630,"[{""Purchase Date"": ""2024-07-12"", ""Product Category"": ""Home & Garden"", ""Price"": 750.8, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 5}}, {""Purchase Date"": ""2024-05-31"", ""Product Category"": ""Electronics"", ""Price"": 745.82, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 5}}, {""Purchase Date"": ""2024-12-21"", ""Product Category"": ""Electronics"", ""Price"": 910.18, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 5}}, {""Purchase Date"": ""2024-11-18"", ""Product Category"": ""Home & Garden"", ""Price"": 921.37, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 5}}]","[{""Timestamp"": ""2024-10-02T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-12-18T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-07-31T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2025-04-23T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",126.6,Medium,Region 4,Medium
1005,22,Male,City E,86767,"[{""Purchase Date"": ""2024-12-22"", ""Product Category"": ""Electronics"", ""Price"": 396.11, ""Product Review"": {""Review Text"": ""Good product, but could be better."", ""Rating"": 2}}]","[{""Timestamp"": ""2024-11-03T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-06-01T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-04-18T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-08-05T11:09:23Z"", ""Product Category"": ""Clothing""}]",439.2,High,Region 8,Very Long
1006,55,Female,City Q,64360,"[{""Purchase Date"": ""2024-08-02"", ""Product Category"": ""Clothing"", ""Price"": 156.9, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2024-07-01"", ""Product Category"": ""Clothing"", ""Price"": 807.06, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2025-03-23"", ""Product Category"": ""Electronics"", ""Price"": 139.87, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2024-06-07"", ""Product Category"": ""Electronics"", ""Price"": 901.19, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}, {""Purchase Date"": ""2024-12-20"", ""Product Category"": ""Clothing"", ""Price"": 395.95, ""Product Review"": {""Review Text"": ""Not what I expected."", ""Rating"": 4}}]","[{""Timestamp"": ""2024-07-26T11:09:23Z"", ""Product Category"": ""Clothing""}]",306.5,Medium,Region 6,Very Long
1007,43,Male,City F,66641,"[{""Purchase Date"": ""2024-11-08"", ""Product Category"": ""Electronics"", ""Price"": 903.65, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 1}}, {""Purchase Date"": ""2024-12-20"", ""Product Category"": ""Home & Garden"", ""Price"": 478.76, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 1}}, {""Purchase Date"": ""2025-01-03"", ""Product Category"": ""Clothing"", ""Price"": 640.56, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 1}}]","[{""Timestamp"": ""2024-12-08T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2025-02-02T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2024-05-04T11:09:23Z"", ""Product Category"": ""Clothing""}]",168.6,Medium,Region 7,Medium
1008,35,Male,City F,117826,"[{""Purchase Date"": ""2024-08-24"", ""Product Category"": ""Home & Garden"", ""Price"": 832.4, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 3}}, {""Purchase Date"": ""2024-12-26"", ""Product Category"": ""Electronics"", ""Price"": 93.92, ""Product Review"": {""Review Text"": ""Excellent quality, highly recommended!"", ""Rating"": 3}}]","[{""Timestamp"": ""2025-02-27T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-11-03T11:09:23Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2024-11-26T11:09:23Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2024-09-10T11:09:23Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2025-02-18T11:09:23Z"", ""Product Category"": ""Home & Garden""}]",487.4,Very High,Region 7,Very Long
1009,31,Male,City B,113546,"[{""Purchase Date"": ""2024-10-09"", ""Product Category"": ""Clothing"", ""Price"": 214.24, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 1}}, {""Purchase Date"": ""2024-08-20"", ""Product Category"": ""Clothing"", ""Price"": 737.73, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 1}}, {""Purchase Date"": ""2024-05-29"", ""Product Category"": ""Home & Garden"", ""Price"": 630.7, ""Product Review"": {""Review Text"": ""Average product."", ""Rating"": 1}}]","[{""Timestamp"": ""2025-02-20T11:09:23Z"", ""Product Category"": ""Electronics""}]",365.2,Very High,Region 8,Very Long
1010,32,Female,City E,78993,"[{""Purchase Date"": ""2024-07-25"", ""Product Category"": ""Home & Garden"", ""Price"": 832.6, ""Product Review"": {""Review Text"": ""Great product!"", ""Rating"": 4}}]","[{""Timestamp"": ""2025-04-16T11:09:23Z"", ""Product Category"": ""Electronics""}]",395.2,Medium,Region 8,Very Long
